"url","title","release_date","budget","gross_usa","runtime","timestamp_crawl","id"
"https://www.imdb.com/title/tt1375666/?ref_=adv_li_tt","Inception","16 July 2010; 19 January 2020; 17 January 2020; 17 January 2020; 19 Jun 2018;  in 2016; 27 Apr 2018;  in 2018; 27 Apr 2018; 01 Sep 2017; 12 Aug 2018; 22 Jan 2019; 31 Dec 2018;  the 2010; 16 July 2010; 18 July 2010; 13 July 2010; 16 July 2010","$160,000,000","$292,576,195","148 min","",""
"https://www.imdb.com/title/tt0133093/?ref_=adv_li_tt","The Matrix","31 March 1999; 22 January 2020; 22 January 2020;  February 2020; 22 January 2020;  2019;  in 2016; 27 Apr 2018;  in 2018; 27 Apr 2018;  voir 1990; 31 Dec 2018; 31 March 1999; 4 April 1999; 3 March 2001; 31 March 1999","$63,000,000","$171,479,930","136 min","",""
"https://www.imdb.com/title/tt0816692/?ref_=adv_li_tt","Interstellar","7 November 2014; 23 January 2020;  2001; 15 January 2020; 13 January 2020; 19 Jun 2018;  in 2016; 27 Apr 2018;  in 2018; 27 Apr 2018; 30 Jan 2017; 12 Aug 2018;  Movies 2010; 7 November 2014; 9 November 2014; 4 November 2014; s 2001;  with 2001;  and 2001; 7 November 2014","$165,000,000","$188,020,017","169 min","",""
"https://www.imdb.com/title/tt0848228/?ref_=adv_li_tt","The Avengers","4 May 2012; 23 January 2020; 23 January 2020; 23 January 2020; 18 Mar 2018; 10 Nov 2011; 10 Nov 2013;  From 2010; 4 May 2012; 6 May 2012; 20 March 2015; 4 May 2012","$220,000,000","$623,357,910","143 min; 173 min","",""
"https://www.imdb.com/title/tt0076759/?ref_=adv_li_tt","Star Wars: Episode IV - A New Hope","25 May 1977; 23 January 2020; 23 January 2020; 23 January 2020; 09 Jun 2018;  Vistas 2020; 11 Dec 2018; s 1989; 25 May 1977; 30 May 1977;  versions 1997;  From 1977;  In 1978; 12 December 2004; 25 May 1977","$11,000,000","$460,998,507","121 min; 125 min","",""
"https://www.imdb.com/title/tt0482571/?ref_=adv_li_tt","The Prestige","20 October 2006; 19 January 2020; 10 January 2020; 06 January 2020;  in 2016; 27 Apr 2018;  in 2018; 27 Apr 2018; 07 Feb 2018; 07 Oct 2015; 13 Jan 2019; 22 Jan 2019;  2020;  In 1954; 20 October 2006; 22 October 2006; 20 October 2006","$14,801,808,","$109,676,311","130 min","",""
"https://www.imdb.com/title/tt0080684/?ref_=adv_li_tt","Star Wars: Episode V - The Empire Strikes Back","20 June 1980; 22 January 2020; 21 January 2020; 20 January 2020; 09 Jun 2018; 24 May 2018;  in 2016; 27 Apr 2018; 11 Dec 2018; 20 June 1980; 25 May 1980; 21 December 2019;  in 1980; 20 June 1980","$18,000,000","$290,271,960","124 min; 127 min","",""
"https://www.imdb.com/title/tt0499549/?ref_=adv_li_tt","Avatar","18 December 2009; 22 January 2020; 19 January 2020; 17 January 2020; 01 Nov 2018; 30 Jul 2018; 24 Aug 2017; 19 Jul 2017; 18 Mar 2018; 03 May 2018;  The 2000;  the 1820; 18 December 2009; 20 December 2009;  the 2010;  with 2010; 20 December 2009; 18 December 2009","$237,000,000","$760,507,625","162 min; 171 min; 178 min","",""
"https://www.imdb.com/title/tt2015381/?ref_=adv_li_tt","Guardians of the Galaxy","1 August 2014; 23 January 2020; 22 January 2020; 21 January 2020; 11 Dec 2018; 10 Nov 2011; 1 August 2014; 3 August 2014; 26 July 2014; 1 August 2014","$170,000,000","$333,176,600","121 min","",""
"https://www.imdb.com/title/tt0434409/?ref_=adv_li_tt","V for Vendetta","17 March 2006; 19 December 2019; 03 December 2019; 03 December 2019; 22 Jun 2018;  in 2018; 27 Apr 2018; 31 Dec 2018; 19 Dec 2018; 17 Jun 2013;  from 1975;  2020;  Best 2000;  The 2000;  In 1954; 17 March 2006; 19 March 2006;  in 1605; 14 February 2006; 17 March 2006","$54,000,000","$70,511,035","132 min","",""
